anio_hecho,mes_hecho,fecha_hecho,hora_hecho,categoria_delito,fiscalia,agencia,unidad_investigacion,colonia_hecho,colonia_catalogo,latitud,longitud,mes_numerico,hora,lat_anon,lon_anon
2024,Junio,2024-06-10,17:00:00,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,PRADO COAPA 2A SECCIÓN,Prado Coapa 2a Seccion,19.2969703098336,-99.1336475699999,6,17,19.297,-99.134
2024,Junio,2024-06-22,00:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,FUENTES DEL PEDREGAL,Fuentes Del Pedregal,19.3036584498336,-99.2282262799999,6,0,19.304,-99.228
2024,Junio,2024-06-24,16:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,RESIDENCIAL ACOXPA,Residencial Acoxpa,19.2994844298339,-99.12559795,6,16,19.299,-99.126
2024,Julio,2024-07-06,10:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SANTA ÚRSULA XITLA,Pueblo Santa Ursula Xitla,19.2854173198343,-99.1769223299999,7,10,19.285,-99.177
2024,Junio,2024-06-26,00:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SANTA ÚRSULA XITLA,Pueblo Santa Ursula Xitla,19.2826907698344,-99.1770310699999,6,0,19.283,-99.177
2024,Julio,2024-07-05,11:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,RESIDENCIAL MIRAMONTES,Residencial Miramontes,19.3033644898338,-99.12350982,7,11,19.303,-99.124
2024,Julio,2024-07-05,19:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-1,UI-1SD,CULTURA MAYA,Cultura Maya,19.2767033098337,-99.2218510099999,7,19,19.277,-99.222
2024,Julio,2024-07-05,08:30:00,DELITO DE BAJO IMPACTO,AGENCIA DE DENUNCIA DIGITAL,CEN-A,UI-1SD,SAN BARTOLO EL CHICO,San Bartolo El Chico,19.2844081198335,-99.13734779,7,8,19.284,-99.137
2024,Julio,2024-07-06,11:25:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,SAN MIGUEL TOPILEJO,Pueblo San Miguel Topilejo,19.2006374698338,-99.1386605099999,7,11,19.201,-99.139
2024,Julio,2024-07-06,01:40:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-4,UI-1SD,PRADO COAPA 2A SECCIÓN,Villa Lazaro Cardenas,19.2957284198341,-99.13266182,7,1,19.296,-99.133
2024,Julio,2024-07-05,18:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,JARDINES DEL AJUSCO,Jardines Del Ajusco,19.2808364698342,-99.2146653699999,7,18,19.281,-99.215
2024,Julio,2024-07-04,23:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN DEL DELITO DE VIOLENCIA FAMILIAR,CJM-TLP,1 SIN DETENIDO,HÉROES DE PADIERNA,Heroes De Padierna,19.2788200825863,-99.2226141291253,7,23,19.279,-99.223
2024,Junio,2024-06-24,21:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,MIGUEL HIDALGO 3A SECCIÓN,Miguel Hidalgo 2a Seccion,19.2792810098341,-99.2008603699999,6,21,19.279,-99.201
2024,Julio,2024-07-05,18:15:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,VALLE ESCONDIDO,Valle Escondido,19.2780261798339,-99.1424522499999,7,18,19.278,-99.142
2024,Julio,2024-07-06,13:15:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,SAN ANDRÉS TOTOLTEPEC,La Palma,19.2457268998337,-99.1614667699999,7,13,19.246,-99.161
2024,Julio,2024-07-01,07:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,MIGUEL HIDALGO 1A SECCIÓN,Barrio La Lonja,19.2939929098339,-99.1810056599999,7,7,19.294,-99.181
2024,Junio,2024-06-25,16:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,SANTA ÚRSULA XITLA,Pueblo Santa Ursula Xitla,19.283083399834,-99.1765739799999,6,16,19.283,-99.177
2024,Julio,2024-07-02,11:00:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-3,UI-1SD,TLALCOLIGIA,Tlalcoligia,19.2748047998338,-99.1723887499999,7,11,19.275,-99.172
2024,Julio,2024-07-04,12:30:00,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,FISCALÍA DE INVESTIGACIÓN ESTRATÉGICA DEL DELITO DE ROBO DE VEHÍCULOS Y TRANSPORTE,ORIENTEII,UI-1CD,RESIDENCIAL HACIENDA COAPA,Rinconada Coapa 2a Seccion,19.3013554798337,-99.1171231499999,7,12,19.301,-99.117
2024,Julio,2024-07-06,12:30:00,DELITO DE BAJO IMPACTO,FISCALÍA DE INVESTIGACIÓN TERRITORIAL EN TLALPAN,UAT-TLP-5,UI-1SD,SANTO TOMAS AJUSCO,Pueblo Santo Tomas Ajusco,19.2199743085521,-99.207783028527,7,12,19.22,-99.208
