fecha,servicio,dia,mes,anio,afluencia,mes_numerico
2022-01-25,Expdirecto,25,Enero,2022,2315,1
2022-01-25,Expreso,25,Enero,2022,100922,1
2022-01-25,Nochebús,25,Enero,2022,710,1
2022-01-25,Ordinario,25,Enero,2022,87108,1
2022-01-25,S/Metro,25,Enero,2022,49036,1
2022-01-25,Servicios Temporales,25,Enero,2022,4083,1
2022-01-26,Atenea,26,Enero,2022,14905,1
2022-01-26,Ecoatenea,26,Enero,2022,3093,1
2022-01-26,Ecobús,26,Enero,2022,29799,1
2022-01-26,Expdirecto,26,Enero,2022,2328,1
2022-01-26,Expreso,26,Enero,2022,98467,1
2022-01-26,Nochebús,26,Enero,2022,620,1
2022-01-26,Ordinario,26,Enero,2022,87387,1
2022-01-26,S/Metro,26,Enero,2022,49289,1
2022-01-26,Servicios Temporales,26,Enero,2022,3746,1
2022-01-27,Atenea,27,Enero,2022,14957,1
2022-01-27,Ecoatenea,27,Enero,2022,2963,1
2022-01-27,Ecobús,27,Enero,2022,29890,1
2022-01-27,Expdirecto,27,Enero,2022,2223,1
2022-01-27,Expreso,27,Enero,2022,100616,1
2022-01-27,Nochebús,27,Enero,2022,730,1
2022-01-27,Ordinario,27,Enero,2022,91383,1
2022-01-27,S/Metro,27,Enero,2022,48698,1
2022-01-27,Servicios Temporales,27,Enero,2022,4165,1
2022-01-28,Atenea,28,Enero,2022,16556,1
2022-01-28,Ecoatenea,28,Enero,2022,3373,1
2022-01-28,Ecobús,28,Enero,2022,30143,1
2022-01-28,Expdirecto,28,Enero,2022,2244,1
2022-01-28,Expreso,28,Enero,2022,103718,1
2022-01-28,Nochebús,28,Enero,2022,979,1
2022-01-28,Ordinario,28,Enero,2022,89399,1
2022-01-28,S/Metro,28,Enero,2022,49194,1
2022-01-28,Servicios Temporales,28,Enero,2022,4241,1
2022-01-29,Atenea,29,Enero,2022,7033,1
2022-01-29,Ecoatenea,29,Enero,2022,964,1
2022-01-29,Ecobús,29,Enero,2022,21623,1
2022-01-29,Expdirecto,29,Enero,2022,490,1
2022-01-29,Expreso,29,Enero,2022,67447,1
2022-01-29,Nochebús,29,Enero,2022,1227,1
2022-01-29,Ordinario,29,Enero,2022,58043,1
2022-01-29,S/Metro,29,Enero,2022,39711,1
2022-01-29,Servicios Temporales,29,Enero,2022,2701,1
2022-01-30,Atenea,30,Enero,2022,3040,1
2022-01-30,Ecobús,30,Enero,2022,14264,1
2022-01-30,Expreso,30,Enero,2022,50912,1
2022-01-30,Nochebús,30,Enero,2022,1152,1
2022-01-30,Ordinario,30,Enero,2022,44939,1
2022-01-30,S/Metro,30,Enero,2022,25733,1
2022-01-30,Servicios Temporales,30,Enero,2022,2942,1
2022-01-31,Atenea,31,Enero,2022,17714,1
2022-01-31,Ecoatenea,31,Enero,2022,2658,1
2022-01-31,Ecobús,31,Enero,2022,31518,1
2022-01-31,Expdirecto,31,Enero,2022,2366,1
2022-01-31,Expreso,31,Enero,2022,116142,1
2022-01-31,Nochebús,31,Enero,2022,577,1
2022-01-31,Ordinario,31,Enero,2022,92562,1
2022-01-31,S/Metro,31,Enero,2022,50955,1
2022-01-31,Servicios Temporales,31,Enero,2022,3498,1
2022-02-01,Atenea,1,Febrero,2022,18737,2
2022-02-01,Ecoatenea,1,Febrero,2022,3079,2
2022-02-01,Ecobús,1,Febrero,2022,32848,2
2022-02-01,Expdirecto,1,Febrero,2022,2586,2
2022-02-01,Expreso,1,Febrero,2022,121876,2
2022-02-01,Nochebús,1,Febrero,2022,701,2
